signal_x,signal_y,index,cycle
-0.432,0.1207162058371738,128,0
-0.4279813953488372,0.12976509901284938,129,0
-0.4239627906976744,0.1288139921885243,130,0
-0.4199441860465116,0.10786288536419875,131,0
-0.41592558139534885,0.11191177853987355,132,0
-0.411906976744186,0.10596067171554857,133,0
-0.40788837209302325,0.11000956489122338,134,0
-0.4038697674418605,0.09405845806689861,135,0
-0.39985116279069766,0.09310735124257263,136,0
-0.3958325581395349,0.09715624441824744,137,0
-0.3918139534883721,0.11120513759392203,138,0
-0.3877953488372093,0.08025403076959758,139,0
-0.3837767441860465,0.08430292394527239,140,0
-0.3797581395348837,0.09335181712094709,141,0
-0.3757395348837209,0.08240071029662221,142,0
-0.37172093023255814,0.07144960347229734,143,0
-0.3677023255813954,0.07049849664797225,144,0
-0.36368372093023255,0.06454738982364638,145,0
-0.3596651162790698,0.08359628299932176,146,0
-0.35564651162790695,0.07764517617499678,147,0
-0.3516279069767442,0.05669406935067123,148,0
-0.3476093023255814,0.0757429625263466,149,0
-0.34359069767441863,0.06979185570202162,150,0
-0.3395720930232558,0.06884074887769653,151,0
-0.33555348837209303,0.06288964205337066,152,0
-0.3315348837209302,0.0519385352290449,153,0
-0.32751627906976744,0.06598742840472038,154,0
-0.32349767441860466,0.0650363215803953,155,0
-0.3194790697674419,0.05408521475606953,156,0
-0.31546046511627907,0.028134107931744978,157,0
-0.3114418604651163,0.05218300110741936,158,0
-0.30742325581395347,0.04623189428309438,159,0
-0.3034046511627907,0.05028078745876918,160,0
-0.2993860465116279,0.03932968063444431,161,0
-0.29536744186046515,0.04837857381011901,162,0
-0.2913488372093023,0.04242746698579403,163,0
-0.2873302325581395,0.04147636016146894,164,0
-0.2833116279069767,0.04052525333714385,165,0
-0.27929302325581395,0.03457414651281887,166,0
-0.2752744186046512,0.03862303968849368,167,0
-0.27125581395348836,0.032671932864168696,168,0
-0.2672372093023256,0.011720826039843146,169,0
-0.26321860465116276,0.020769719215517846,170,0
-0.2592,0.019818612391192758,171,0
-0.2551813953488372,0.01886750556686767,172,0
-0.25116279069767444,0.007916398742542796,173,0
-0.24714418604651162,0.011965291918217602,174,0
-0.24312558139534884,0.016014185093892408,175,0
-0.23910697674418604,0.005063078269567534,176,0
-0.23508837209302325,-0.010888028554758122,177,0
-0.23106976744186047,-0.016839135379083103,178,0
-0.22705116279069767,0.007209757796592164,179,0
-0.22303255813953488,0.0012586509722671835,180,0
-0.2190139534883721,-0.009692455852058579,181,0
-0.2149953488372093,-0.01564356267638356,182,0
-0.2109767441860465,-0.0065946695007079725,183,0
-0.20695813953488373,-0.0025457763250331666,184,0
-0.20293953488372093,-0.028496883149359498,185,0
-0.19892093023255814,-0.03444798997368448,186,0
-0.19490232558139534,-0.020399096798009886,187,0
-0.19088372093023256,-0.021350203622334973,188,0
