qtdb_idx,pyhearts_idx,qtdb_amplitude,pyhearts_amplitude,amplitude_diff,offset_samples,offset_ms,distance_samples
124,139,-0.535,0.59,1.125,15,60.0,15
266,282,-0.545,0.585,1.13,16,64.0,16
410,425,-0.585,0.58,1.165,15,60.0,15
552,568,-0.57,0.585,1.1549999999999998,16,64.0,16
696,711,-0.585,0.575,1.16,15,60.0,15
838,854,-0.585,0.565,1.15,16,64.0,16
982,997,-0.63,0.585,1.2149999999999999,15,60.0,15
1124,1138,-0.585,0.575,1.16,14,56.0,14
1266,1281,-0.585,0.575,1.16,15,60.0,15
1408,1424,-0.635,0.595,1.23,16,64.0,16
1550,1565,-0.635,0.56,1.195,15,60.0,15
1692,1706,-0.565,0.585,1.15,14,56.0,14
1832,1847,-0.645,0.595,1.24,15,60.0,15
1972,1987,-0.58,0.585,1.165,15,60.0,15
2112,2126,-0.79,0.55,1.34,14,56.0,14
2242,2264,-0.925,0.51,1.435,22,88.0,22
2388,2402,-0.915,0.54,1.455,14,56.0,14
2526,2540,-0.88,0.525,1.405,14,56.0,14
2662,2677,-0.73,0.555,1.2850000000000001,15,60.0,15
2800,2815,-0.69,0.545,1.2349999999999999,15,60.0,15
2938,2953,-0.645,0.575,1.22,15,60.0,15
3076,3092,-0.605,0.575,1.18,16,64.0,16
3218,3232,-0.56,0.575,1.135,14,56.0,14
3358,3373,-0.55,0.54,1.09,15,60.0,15
3500,3515,-0.535,0.57,1.105,15,60.0,15
3642,3657,-0.46,0.59,1.05,15,60.0,15
3784,3799,-0.43,0.575,1.005,15,60.0,15
3926,3942,-0.485,0.605,1.0899999999999999,16,64.0,16
4068,4084,-0.45,0.49,0.94,16,64.0,16
4212,4228,-0.475,0.57,1.045,16,64.0,16
4356,4371,-0.36,0.6,0.96,15,60.0,15
4500,4514,-0.38,0.605,0.985,14,56.0,14
4642,4657,-0.445,0.575,1.02,15,60.0,15
4784,4799,-0.405,0.59,0.995,15,60.0,15
4928,4943,-0.475,0.595,1.0699999999999998,15,60.0,15
5072,5088,-0.535,0.575,1.1099999999999999,16,64.0,16
5216,5232,-0.51,0.555,1.065,16,64.0,16
5362,5377,-0.515,0.565,1.08,15,60.0,15
5506,5522,-0.525,0.575,1.1,16,64.0,16
5652,5667,-0.555,0.58,1.135,15,60.0,15
5798,5813,-0.62,0.595,1.2149999999999999,15,60.0,15
5942,5958,-0.58,0.58,1.16,16,64.0,16
6086,6102,-0.595,0.575,1.17,16,64.0,16
6232,6247,-0.605,0.6,1.205,15,60.0,15
6376,6391,-0.61,0.585,1.1949999999999998,15,60.0,15
6520,6534,-0.565,0.575,1.14,14,56.0,14
6664,6679,-0.57,0.57,1.14,15,60.0,15
6808,6823,-0.55,0.59,1.1400000000000001,15,60.0,15
6952,6967,-0.55,0.575,1.125,15,60.0,15
7096,7110,-0.555,0.56,1.1150000000000002,14,56.0,14
7240,7254,-0.555,0.575,1.13,14,56.0,14
7382,7398,-0.465,0.6,1.065,16,64.0,16
7526,7541,-0.58,0.575,1.1549999999999998,15,60.0,15
7670,7682,-0.605,0.425,1.03,12,48.0,12
7814,7829,-0.56,0.575,1.135,15,60.0,15
7958,7973,-0.485,0.595,1.08,15,60.0,15
8102,8117,-0.55,0.58,1.13,15,60.0,15
8246,8261,-0.535,0.6,1.135,15,60.0,15
8390,8404,-0.52,0.57,1.0899999999999999,14,56.0,14
8532,8547,-0.535,0.58,1.115,15,60.0,15
8674,8688,-0.52,0.585,1.105,14,56.0,14
8814,8828,-0.465,0.555,1.02,14,56.0,14
8954,8969,-0.44,0.565,1.005,15,60.0,15
9096,9111,-0.525,0.575,1.1,15,60.0,15
9240,9254,-0.52,0.57,1.0899999999999999,14,56.0,14
9382,9397,-0.46,0.58,1.04,15,60.0,15
9526,9541,-0.465,0.59,1.055,15,60.0,15
9670,9684,-0.535,0.575,1.1099999999999999,14,56.0,14
9812,9827,-0.53,0.575,1.105,15,60.0,15
9956,9970,-0.545,0.56,1.105,14,56.0,14
10098,10113,-0.585,0.57,1.1549999999999998,15,60.0,15
10240,10255,-0.595,0.56,1.155,15,60.0,15
10382,10398,-0.46,0.6,1.06,16,64.0,16
10524,10540,-0.58,0.59,1.17,16,64.0,16
10668,10682,-0.62,0.38,1.0,14,56.0,14
10810,10824,-0.58,0.575,1.1549999999999998,14,56.0,14
10952,10967,-0.615,0.56,1.175,15,60.0,15
11096,11110,-0.645,0.575,1.22,14,56.0,14
11238,11254,-0.68,0.59,1.27,16,64.0,16
11382,11397,-0.665,0.555,1.2200000000000002,15,60.0,15
11524,11540,-0.605,0.575,1.18,16,64.0,16
11668,11683,-0.63,0.55,1.1800000000000002,15,60.0,15
11812,11827,-0.645,0.575,1.22,15,60.0,15
11954,11970,-0.62,0.59,1.21,16,64.0,16
12098,12114,-0.605,0.575,1.18,16,64.0,16
12242,12256,-0.565,0.565,1.13,14,56.0,14
12386,12400,-0.57,0.565,1.1349999999999998,14,56.0,14
12530,12544,-0.555,0.585,1.1400000000000001,14,56.0,14
12672,12688,-0.51,0.575,1.085,16,64.0,16
12816,12832,-0.52,0.585,1.105,16,64.0,16
12960,12976,-0.52,0.59,1.1099999999999999,16,64.0,16
13104,13119,-0.505,0.585,1.0899999999999999,15,60.0,15
13248,13263,-0.52,0.59,1.1099999999999999,15,60.0,15
13392,13408,-0.5,0.605,1.105,16,64.0,16
13538,13552,-0.51,0.585,1.095,14,56.0,14
13682,13697,-0.495,0.585,1.08,15,60.0,15
13826,13842,-0.51,0.565,1.075,16,64.0,16
13972,13987,-0.475,0.5,0.975,15,60.0,15
14116,14130,-0.46,0.575,1.035,14,56.0,14
14258,14274,-0.51,0.61,1.12,16,64.0,16
14402,14417,-0.52,0.565,1.085,15,60.0,15
14544,14560,-0.52,0.6,1.12,16,64.0,16
14688,14703,-0.555,0.575,1.13,15,60.0,15
14830,14845,-0.55,0.575,1.125,15,60.0,15
14972,14988,-0.525,0.575,1.1,16,64.0,16
15116,15132,-0.585,0.575,1.16,16,64.0,16
15260,15276,-0.615,0.585,1.2,16,64.0,16
15404,15419,-0.585,0.565,1.15,15,60.0,15
15548,15563,-0.565,0.585,1.15,15,60.0,15
15690,15706,-0.595,0.575,1.17,16,64.0,16
15834,15849,-0.58,0.59,1.17,15,60.0,15
15976,15991,-0.57,0.555,1.125,15,60.0,15
16118,16134,-0.585,0.61,1.1949999999999998,16,64.0,16
16260,16275,-0.58,0.56,1.1400000000000001,15,60.0,15
16402,16417,-0.57,0.57,1.14,15,60.0,15
16546,16560,-0.585,0.56,1.145,14,56.0,14
16688,16702,-0.545,0.56,1.105,14,56.0,14
16830,16845,-0.55,0.57,1.12,15,60.0,15
16972,16986,-0.535,0.55,1.085,14,56.0,14
17114,17129,-0.57,0.555,1.125,15,60.0,15
17256,17271,-0.52,0.585,1.105,15,60.0,15
17398,17413,-0.52,0.585,1.105,15,60.0,15
17540,17555,-0.555,0.585,1.1400000000000001,15,60.0,15
17682,17697,-0.54,0.595,1.135,15,60.0,15
17824,17839,-0.525,0.585,1.1099999999999999,15,60.0,15
17966,17981,-0.55,0.585,1.135,15,60.0,15
18108,18124,-0.58,0.595,1.1749999999999998,16,64.0,16
18250,18265,-0.535,0.58,1.115,15,60.0,15
18392,18408,-0.58,0.585,1.165,16,64.0,16
18536,18551,-0.605,0.59,1.1949999999999998,15,60.0,15
18678,18693,-0.58,0.585,1.165,15,60.0,15
18820,18835,-0.585,0.6,1.185,15,60.0,15
19098,19114,-0.57,0.6,1.17,16,64.0,16
19238,19253,-0.6,0.565,1.165,15,60.0,15
19378,19393,-0.615,0.56,1.175,15,60.0,15
19518,19533,-0.605,0.575,1.18,15,60.0,15
19658,19674,-0.58,0.615,1.1949999999999998,16,64.0,16
19800,19815,-0.63,0.585,1.2149999999999999,15,60.0,15
19942,19958,-0.63,0.575,1.205,16,64.0,16
20086,20100,-0.605,0.6,1.205,14,56.0,14
20228,20242,-0.605,0.57,1.1749999999999998,14,56.0,14
20370,20384,-0.62,0.575,1.1949999999999998,14,56.0,14
20512,20526,-0.635,0.55,1.185,14,56.0,14
20652,20668,-0.595,0.6,1.1949999999999998,16,64.0,16
20794,20810,-0.61,0.585,1.1949999999999998,16,64.0,16
20936,20952,-0.595,0.62,1.2149999999999999,16,64.0,16
21078,21093,-0.605,0.565,1.17,15,60.0,15
21220,21234,-0.58,0.565,1.145,14,56.0,14
21360,21376,-0.57,0.595,1.165,16,64.0,16
21502,21516,-0.545,0.565,1.1099999999999999,14,56.0,14
21642,21657,-0.54,0.58,1.12,15,60.0,15
21782,21798,-0.51,0.625,1.135,16,64.0,16
