qtdb_idx,pyhearts_idx,offset_samples,offset_ms,distance_samples
124,139,15,60.0,15
266,282,16,64.0,16
410,425,15,60.0,15
552,568,16,64.0,16
696,711,15,60.0,15
838,854,16,64.0,16
982,997,15,60.0,15
1124,1138,14,56.0,14
1266,1281,15,60.0,15
1408,1424,16,64.0,16
1550,1565,15,60.0,15
1692,1706,14,56.0,14
1832,1847,15,60.0,15
1972,1987,15,60.0,15
2112,2126,14,56.0,14
2242,2264,22,88.0,22
2388,2402,14,56.0,14
2526,2540,14,56.0,14
2662,2677,15,60.0,15
2800,2815,15,60.0,15
2938,2953,15,60.0,15
3076,3092,16,64.0,16
3218,3232,14,56.0,14
3358,3373,15,60.0,15
3500,3515,15,60.0,15
3642,3657,15,60.0,15
3784,3799,15,60.0,15
3926,3942,16,64.0,16
4068,4084,16,64.0,16
4212,4228,16,64.0,16
4356,4371,15,60.0,15
4500,4514,14,56.0,14
4642,4657,15,60.0,15
4784,4799,15,60.0,15
4928,4943,15,60.0,15
5072,5088,16,64.0,16
5216,5232,16,64.0,16
5362,5377,15,60.0,15
5506,5522,16,64.0,16
5652,5667,15,60.0,15
5798,5813,15,60.0,15
5942,5958,16,64.0,16
6086,6102,16,64.0,16
6232,6247,15,60.0,15
6376,6391,15,60.0,15
6520,6534,14,56.0,14
6664,6679,15,60.0,15
6808,6823,15,60.0,15
6952,6967,15,60.0,15
7096,7110,14,56.0,14
7240,7254,14,56.0,14
7382,7398,16,64.0,16
7526,7541,15,60.0,15
7670,7682,12,48.0,12
7814,7829,15,60.0,15
7958,7973,15,60.0,15
8102,8117,15,60.0,15
8246,8261,15,60.0,15
8390,8404,14,56.0,14
8532,8547,15,60.0,15
8674,8688,14,56.0,14
8814,8828,14,56.0,14
8954,8969,15,60.0,15
9096,9111,15,60.0,15
9240,9254,14,56.0,14
9382,9397,15,60.0,15
9526,9541,15,60.0,15
9670,9684,14,56.0,14
9812,9827,15,60.0,15
9956,9970,14,56.0,14
10098,10113,15,60.0,15
10240,10255,15,60.0,15
10382,10398,16,64.0,16
10524,10540,16,64.0,16
10668,10682,14,56.0,14
10810,10824,14,56.0,14
10952,10967,15,60.0,15
11096,11110,14,56.0,14
11238,11254,16,64.0,16
11382,11397,15,60.0,15
11524,11540,16,64.0,16
11668,11683,15,60.0,15
11812,11827,15,60.0,15
11954,11970,16,64.0,16
12098,12114,16,64.0,16
12242,12256,14,56.0,14
12386,12400,14,56.0,14
12530,12544,14,56.0,14
12672,12688,16,64.0,16
12816,12832,16,64.0,16
12960,12976,16,64.0,16
13104,13119,15,60.0,15
13248,13263,15,60.0,15
13392,13408,16,64.0,16
13538,13552,14,56.0,14
13682,13697,15,60.0,15
13826,13842,16,64.0,16
13972,13987,15,60.0,15
14116,14130,14,56.0,14
14258,14274,16,64.0,16
14402,14417,15,60.0,15
14544,14560,16,64.0,16
14688,14703,15,60.0,15
14830,14845,15,60.0,15
14972,14988,16,64.0,16
15116,15132,16,64.0,16
15260,15276,16,64.0,16
15404,15419,15,60.0,15
15548,15563,15,60.0,15
15690,15706,16,64.0,16
15834,15849,15,60.0,15
15976,15991,15,60.0,15
16118,16134,16,64.0,16
16260,16275,15,60.0,15
16402,16417,15,60.0,15
16546,16560,14,56.0,14
16688,16702,14,56.0,14
16830,16845,15,60.0,15
16972,16986,14,56.0,14
17114,17129,15,60.0,15
17256,17271,15,60.0,15
17398,17413,15,60.0,15
17540,17555,15,60.0,15
17682,17697,15,60.0,15
17824,17839,15,60.0,15
17966,17981,15,60.0,15
18108,18124,16,64.0,16
18250,18265,15,60.0,15
18392,18408,16,64.0,16
18536,18551,15,60.0,15
18678,18693,15,60.0,15
18820,18835,15,60.0,15
19098,19114,16,64.0,16
19238,19253,15,60.0,15
19378,19393,15,60.0,15
19518,19533,15,60.0,15
19658,19674,16,64.0,16
19800,19815,15,60.0,15
19942,19958,16,64.0,16
20086,20100,14,56.0,14
20228,20242,14,56.0,14
20370,20384,14,56.0,14
20512,20526,14,56.0,14
20652,20668,16,64.0,16
20794,20810,16,64.0,16
20936,20952,16,64.0,16
21078,21093,15,60.0,15
21220,21234,14,56.0,14
21360,21376,16,64.0,16
21502,21516,14,56.0,14
21642,21657,15,60.0,15
21782,21798,16,64.0,16
21924,21939,15,60.0,15
22064,22079,15,60.0,15
22204,22220,16,64.0,16
22346,22362,16,64.0,16
22488,22503,15,60.0,15
22630,22646,16,64.0,16
22772,22787,15,60.0,15
22914,22928,14,56.0,14
23054,23070,16,64.0,16
23196,23211,15,60.0,15
23338,23353,15,60.0,15
23480,23495,15,60.0,15
23622,23638,16,64.0,16
23766,23781,15,60.0,15
23908,23922,14,56.0,14
24050,24065,15,60.0,15
24192,24207,15,60.0,15
24334,24350,16,64.0,16
24476,24492,16,64.0,16
24620,24634,14,56.0,14
24762,24776,14,56.0,14
24902,24918,16,64.0,16
25044,25059,15,60.0,15
25186,25201,15,60.0,15
25328,25343,15,60.0,15
25470,25484,14,56.0,14
25610,25626,16,64.0,16
25752,25767,15,60.0,15
25892,25908,16,64.0,16
26034,26049,15,60.0,15
26174,26189,15,60.0,15
26316,26330,14,56.0,14
26456,26471,15,60.0,15
26598,26612,14,56.0,14
26738,26753,15,60.0,15
26880,26895,15,60.0,15
27022,27037,15,60.0,15
27162,27178,16,64.0,16
27304,27320,16,64.0,16
27448,27462,14,56.0,14
27590,27604,14,56.0,14
27732,27746,14,56.0,14
27874,27890,16,64.0,16
28018,28033,15,60.0,15
28160,28175,15,60.0,15
28302,28318,16,64.0,16
28446,28460,14,56.0,14
28588,28602,14,56.0,14
28730,28744,14,56.0,14
28872,28886,14,56.0,14
29012,29028,16,64.0,16
29154,29169,15,60.0,15
29296,29311,15,60.0,15
29438,29452,14,56.0,14
29578,29593,15,60.0,15
29720,29736,16,64.0,16
29864,29879,15,60.0,15
30006,30021,15,60.0,15
30148,30164,16,64.0,16
30292,30307,15,60.0,15
30434,30448,14,56.0,14
30576,30591,15,60.0,15
30718,30734,16,64.0,16
30862,30876,14,56.0,14
31002,31018,16,64.0,16
31146,31160,14,56.0,14
31288,31302,14,56.0,14
31428,31443,15,60.0,15
31570,31585,15,60.0,15
31712,31727,15,60.0,15
31854,31868,14,56.0,14
31994,32009,15,60.0,15
32134,32148,14,56.0,14
32272,32288,16,64.0,16
32412,32428,16,64.0,16
32554,32568,14,56.0,14
32694,32709,15,60.0,15
32836,32850,14,56.0,14
32978,32992,14,56.0,14
33120,33134,14,56.0,14
33262,33276,14,56.0,14
33404,33419,15,60.0,15
33546,33561,15,60.0,15
33688,33702,14,56.0,14
33828,33844,16,64.0,16
33970,33985,15,60.0,15
34112,34126,14,56.0,14
34252,34267,15,60.0,15
34394,34408,14,56.0,14
